University,Abbreviation,Latitude,Longitude,Logo,Rank,Type,Country,Location,StudentPopulation,Year,Contact,Email,Website,Strength,Description,Exchange,agricultural_veterinary_sciences,arts_design,business_management_law,education_Training,engineering_technology,health_medicine,humanities_languages,ict,natural_sciences,social_behavioral_sciences,services,transport_safety_security_military
Shanmugha Arts Science Technology and Research Academy,SASTRA,10.761,79.14,https://upload.wikimedia.org/wikipedia/en/0/0e/Shanmugha_Arts%2C_Science%2C_Technology_%26_Research_Academy.svg,28,private,India,Tamil Nadu,13000,1984,9.14362E+11,admissions@sastra.edu,sastra.edu,"IT, Space Tech, Medicine, Law","Shanmugha Arts Science Technology and Research Academy was founded in 1984 and they are popular for IT, space tech, medicine and law.",NA,NA,"Animation and VFX, Fine Art, Visual Communication","Business Administration, Communications",NA,"Aeronautical Engineering, Automobile Engineering, Biomedical Engineering, Chemical Engineering, Civil Engineering, Computer Science and Engineering, Electrical and Electronics Engineering, Electronics and Communication Engineering, Electronics and Instrumentation Engineering, Mechanical Engineering",NA,"English, History, Tamil",NA,"Biochemistry, Botany, Chemistry, Microbiology, Physics, Zoology"," Economics, Psychology",NA,NA
Sharda University,SU,28.437,77.5092,https://upload.wikimedia.org/wikipedia/en/1/16/Sharda_University_logo_no_wordmark.png,86,private,India,Uttar Pradesh,17000,2009,9.11205E+11,admissions@sharda.ac.in,sharda.ac.in,"IT, Business Analytics, Health Tech, Law","Sharda University was founded in 2009 and they are popular for IT, business analytics, health tech and law.",NA,NA,"Fine Art, Applied Art, Performing Art, Fashion Design, Interior Design, Animation and VFX","Law, Company Secretary, Financial Management, International Business, Marketing Management, Human Resource Management, Operations Management, Tourism Management, Hospitality Management",Education,"Computer Science Engineering, Electronics and Communication Engineering, Mechanical Engineering, Civil Engineering, Electrical Engineering, Chemical Engineering, Aerospace Engineering, Biotechnology Engineering, Mechatronics Engineering, Artificial Intelligence and Machine Learning, Data Science and Engineering, Robotics and Automation","Nursing, Pharmacy, Physiotherapy, Medical Laboratory Technology, Paramedical Science","English, Hindi, History, Political Science, Sociology, Philosophy, Journalism and Mass Communication, Psychology","Computer Science, Information Technology, Software Engineering, Cybersecurity","Physics, Chemistry, Biology, Mathematics, Biotechnology, Environmental Science","Psychology, Sociology, Economics, Political Science",NA,NA
Shiv Nadar University,SNU,28.4373,77.5221,https://snu.edu.in/site/templates/images/logo.svg,62,private,India,Uttar Pradesh,4000,2011,9.11204E+11,admissions@snu.edu.in,snu.edu.in,"IT, Robotics, Business Analytics, Health Tech","Shiv Nadar University was founded in 2011 and they are popular for IT, robotics, business analytics and health tech.",NA,NA,"Design, Fine Art","Business Administration, Financial Markets, International Business, Communications, Law",NA,"Aerospace Engineering, Biotechnology, Chemical Engineering, Civil Engineering, Computer Engineering, Computer Science and Engineering, Electrical and Electronics Engineering, Electronics and Communication Engineering, Mechanical Engineering, Mechatronics Engineering",NA,"Economics, English, History, Political Science, Psychology, Sociology",NA,"Biological Science, Chemistry, Mathematics, Physics",NA,NA,NA
Shoolini University of Biotechnology and Management Sciences,SU,30.9043,77.096,https://en.wikipedia-on-ipfs.org/I/Shoolini_University_of_Biotechnology_and_Management_Sciences_logo.png.webp,70,private,India,Himachal Pradesh,4000,2009,9.11976E+11,info@shooliniuniversity.com,shooliniuniversity.com,"IT, Biotechnology, Health Tech, Business Analytics","Shoolini University of Biotechnology and Management Sciences was founded in 2009 and they are popular for IT, biotechnology, health tech and business analytics.",NA,NA,NA,"Business Administration, Management Studies, Tourism and Hospitality Management, Business Analytics, International Business, E-commerce",NA,"Computer Science and Engineering, Electronics and Communication Engineering, Mechanical Engineering, Civil Engineering, Electrical Engineering, Biotechnology, Chemical Engineering, Artificial Intelligence and Machine Learning, Data Science","Biotechnology, Nursing",NA,"Computer Science and Engineering, Electronics and Communication Engineering, Information Technology, Artificial Intelligence and Machine Learning, Data Science","Biotechnology, Chemistry, Physics, Mathematics",NA,Tourism and Hospitality Management,NA
Siksha `O` Anusandhan,SOA,20.2441,85.8179,https://upload.wikimedia.org/wikipedia/en/c/c5/Siksha_%E2%80%98O%E2%80%99_Anusandhan.png,14,private,India,Odisha,15000,1996,9.16742E+11,info@soa.ac.in,soa.ac.in,"Medicine, Biotechnology, Engineering, Law","Siksha `O` Anusandhan was founded in 1996 and they are popular for medicine, biotechnology, engineering and law.",NA,NA," Fine Art, Design","Business Administration, Commerce, Law", Education,"Mechanical, Civil, Electrical, Electronics"," Pharmacy, Physiotherapy, Dental Surgery, Nursing","History, Political Science", Computer Applications,"Physics, Chemistry, Biology"," Social Work, Psychology",NA,NA
Sri Balaji Vidyapeeth Mahatma Gandhi Medical College,SBV,11.9408,79.8083,https://mgmcri.ac.in/wp-content/uploads/2019/08/sbvlogo-comp-271x300.png,68,private,India,Pondicherry,1000,2001,9.14133E+11,info@sbvu.ac.in,mgmcri.ac.in,"Medicine, Health Tech, IT, Nursing","Sri Balaji Vidyapeeth Mahatma Gandhi Medical College was founded in 2001 and they are popular for medicine, health tech, it and nursing.",NA,NA,NA,NA,NA,NA,"Medicine, Medical Laboratory Technology, Clinical Embryology, Physiotherapy, Nursing, Allied Health Science, Paramedical Technology, Pharmacy",NA,NA,NA,NA,NA,NA
Sri Ramachandra Institute of Higher Education and Research,SRIHER,13.0315,80.0423,https://www.sriramachandra.edu.in/university/images/nw-images/new-sriher-logo.png,55,private,India,Tamil Nadu,6000,1985,9.14425E+11,info@sriramachandra.edu.in,sriramachandra.edu.in,"Medicine, Health Tech, IT, Biotechnology","Sri Ramachandra Institute of Higher Education and Research was founded in 1985 and they are popular for medicine, health tech, it and biotechnology.",NA,NA, Fine Art," Business Administration, Commerce, Law",NA,"Aeronautical Engineering, Automobile Engineering, Biomedical Engineering, Chemical Engineering, Civil Engineering, Computer Science and Engineering, Electrical and Electronics Engineering, Electronics and Communication Engineering, Electronics and Instrumentation Engineering, Mechanical Engineering, Mechatronics Engineering, Biotechnology, Food Technology","Physiotherapy, Occupational Therapy, Medical Laboratory Technology, Speech and Hearing, Operation Theatre Technology","English Literature, History, Journalism and Mass Communication, Economics, Sociology",NA,"Microbiology, Biochemistry, Botany, Zoology, Physics, Chemistry, Mathematics",NA,NA,NA
Sri Venkateswara University,SVU,13.6292,79.4194,https://svuniversity.edu.in/storage/2021/11/SV-logo.png,87,public,India,Andhra Pradesh,5000,1954,9.18772E+11,registrar@svuniversity.ac.in,svuniversity.edu.in,"IT, Economics, Political Science, Law","Sri Venkateswara University was founded in 1954 and they are popular for IT, economics, political science and law.",NA,"Agriculture, Veterinary Science","Fine Art, Performing Art, Design","Commerce, Management, Business Administration, Law","Education, Teacher Training","Civil Engineering, Mechanical Engineering, Electrical Engineering, Electronics and Communication Engineering, Computer Science Engineering, Information Technology, Chemical Engineering","Medicine, Nursing, Pharmacy, Public Health","History, Political Science, Economics, Sociology, Philosophy, Psychology, Telugu, English, Hindi, Sanskrit, Urdu","Computer Science, Information Technology, Software Engineering","Physics, Chemistry, Mathematics, Botany, Zoology, Microbiology","Sociology, Psychology, Anthropology, Social Work",NA,NA
SVKM's Narsee Monjee Institute of Management Studies,NMIMS,19.1075,72.836,https://upload.wikimedia.org/wikipedia/en/e/ec/Narsee_Monjee_Institute_of_Management_Studies_Logo.png,49,private,India,Maharashtra,17000,1981,9.12242E+11,admissions@nmims.edu,nmims.edu,"Business Analytics, Economics, IT, Law","SVKM's Narsee Monjee Institute of Management Studies was founded in 1981 and they are popular for business analytics, economics, it and law.",NA,NA,NA,NA,NA,NA,Healthcare Management,NA,"Business Analytics, Data Science, Business Analytics, Digital Transformation",NA,NA,NA,NA
Symbiosis International University,SIU,18.5522,73.8997,https://upload.wikimedia.org/wikipedia/en/2/2a/Logo_of_Symbiosis_International_University.svg,31,private,India,Maharashtra,23000,1971,9.12062E+11,admissions@symbiosis.ac.in,siu.edu.in,"Business Analytics, Law, Economics, IT","Symbiosis International University was founded in 1971 and they are popular for business analytics, law, economics and it.",NA,NA,"Animation Film Design, Communication Design, Fashion Design, Game Design, Graphic Design, Interior Design, Product Design","Law, Aviation Management, Banking and Finance, Digital Marketing, Finance, Healthcare Management, Human Resource Management, International Business, Marketing, Operations Management, Retail Management, Supply Chain Management",NA,"Aerospace Engineering, Artificial Intelligence and Machine Learning, Biotechnology, Chemical Engineering, Civil Engineering, Computer Engineering, Computer Science and Engineering, Data Science, Electrical Engineering, Electronics and Communication Engineering, Electronics and Telecommunication Engineering, Instrumentation Engineering, Mechanical Engineering, Mechatronics Engineering",NA,NA,NA,NA,Psychology,NA,NA
Tamil Nadu Agricultural University,TNAU,11.0049,76.9617,https://upload.wikimedia.org/wikipedia/en/9/94/Tamil_Nadu_Agricultural_University_Logo.gif,84,public,India,Tamil Nadu,7000,1971,9.14227E+11,registrar@tnau.ac.in,tnau.ac.in,"Agriculture, IT, Biotechnology, Food Science","Tamil Nadu Agricultural University was founded in 1971 and they are popular for agriculture, IT, biotechnology and food science.",NA,"Agriculture, Agricultural Biotechnology, Agricultural Economics, Agricultural Engineering, Agricultural Entomology, Agricultural Extension, Agricultural Microbiology, Agricultural Meteorology, Agricultural Physics, Agricultural Statistics, Agricultural Zoology, Animal Husbandry, Animal Nutrition, Animal Genetics and Breeding, Dairy Science, Fisheries Science, Horticulture, Plant Breeding and Genetics, Plant Pathology, Soil Science and Agricultural Chemistry, Veterinary Science",NA,NA,NA,Agricultural Engineering,Veterinary Science,NA,NA,"Agricultural Biotechnology, Agricultural Microbiology, Agricultural Meteorology, Agricultural Physics, Agricultural Zoology, Soil Science and Agricultural Chemistry, Plant Breeding and Genetics, Plant Pathology, Animal Genetics and Breeding","Agricultural Economics, Agricultural Extension, Agricultural Statistics",NA,NA
Tata Institute of Social Sciences,TISS,19.0442,72.834,https://upload.wikimedia.org/wikipedia/en/b/bf/Tata_Institute_of_Social_Sciences_Logo.svg,58,public,India,Maharashtra,4000,1936,9.12226E+11,dean.admissions@tiss.edu,tiss.edu,"Social Work, Economics, IT, Political Science","Tata Institute of Social Sciences was founded in 1936 and they are popular for social work, economics, it and political science.",NA,NA,NA,NA,"Early Childhood Care and Education, Social Work",NA,Social Work,NA,NA,NA,NA,NA,NA
Tezpur University,-,26.7091,92.8318,https://upload.wikimedia.org/wikipedia/as/c/c8/Tezpur_University_logo.png,69,public,India,Assam,5000,1994,9.13712E+11,registrar@tezu.ernet.in,tezu.ac.in,"IT, Social Sciences, Law, Political Science","Tezpur University was founded in 1994 and they are popular for IT, social sciences, law and political science.",NA,"Agricultural Biotechnology, Agricultural Economics, Horticulture, Veterinary Science",Visual Art,"Business Administration, Commerce, Law",Education,"Chemical Engineering, Civil Engineering, Computer Science and Engineering, Electrical Engineering, Electronics and Communication Engineering, Mechanical Engineering",NA,"English, Assamese, History, Philosophy, Sociology, Anthropology","Computer Science, Information Technology","Biotechnology, Chemistry, Mathematics, Physics, Zoology, Botany","Economics, Political Science, Psychology",NA,NA
Thapar Institute of Engineering and Technology,TIET,30.374,76.365,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Thapar_Logo.png/500px-Thapar_Logo.png,29,private,India,Punjab,11000,1956,9.11752E+11,admissions@thapar.edu,thapar.edu,"IT, Cybersecurity, Robotics, Business Analytics","Thapar Institute of Engineering and Technology was founded in 1956 and they are popular for IT, cybersecurity, robotics and business analytics.",NA,NA,NA,NA,NA,"Aerospace Engineering, Chemical Engineering, Civil Engineering, Computer Engineering, Electrical Engineering, Electronics and Communication Engineering, Instrumentation and Control Engineering, Mechanical Engineering, Mechatronics Engineering, Production and Industrial Engineering, Biotechnology, Biomedical Engineering, Computer Science and Engineering, Information Technology, Artificial Intelligence and Machine Learning, Data Science and Engineering, Robotics and Automation Engineering, Manufacturing Engineering and Automation",NA,NA,"Computer Science and Engineering, Information Technology, Artificial Intelligence and Machine Learning, Data Science and Engineering",NA,NA,NA,NA
University of Agricultural Sciences,UAS,15.4593,74.9851,https://www.uasbangalore.edu.in/wp-content/uploads/2022/05/uas-logo1.png,90,public,India,Karnataka,18000,1964,9.18023E+11,registrar@uasbangalore.edu.in,uasbangalore.edu.in,"Agriculture, IT, Biotechnology, Food Science","University of Agricultural Sciences was founded in 1964 and they are popular for agriculture, IT, biotechnology and food science.",NA,"Agricultural Engineering, Agricultural Economics, Agronomy, Animal Science, Horticulture, Plant Pathology, Soil Science, Veterinary Medicine, Dairy Science, Poultry Science, Fisheries Science, Forestry",NA,Agricultural Business Management,NA,Agricultural Engineering,Veterinary Medicine,NA,NA,"Agronomy, Soil Science, Plant Pathology, Entomology","Agricultural Economics, Rural Sociology",NA,NA
